img_name,mos
41wy7upxzl,5.569230769
ygujjq6xxt,6.103174603
wk321130q0,5.541984733
w50dp2zjpg,6.234848485
l7rqfxeuh0,5.19047619
iapcid06sr,5.938461538
twvec6pi41,7.389312977
h0wh5in2rd,6.123076923
j70kuiwf5y,6.866141732
9qls7ros2m,5.753968254
tj25fu2nq1,6.032258065
0s9eb46x10,6.5234375
wc2urapw9h,5.770992366
da9bbritof,5.578947368
s8mue5svaq,5.876470588
79m236ghh6,6.046783626
xrntwua656,5.760233918
3pzcngvk5i,5.838509317
oh3yan9gru,5.341614907
spbxk4bxfw,5.670731707
4iwvg5jc9l,5.13125
kxe2ed8cfp,5.928994083
ba5y3el4bh,5.554216867
1ler0d78de,6.67251462
pfq8u8wu1t,6.25433526
zu5r14lfgr,5.072727273
uwl47bqgif,5.261904762
tblxl6k7f7,6.930635838
iw9ws82irv,5.6
msdzxondcc,5.595238095
yqix27oasf,6.4375
7m8jur7r6e,4.337209302
fi1bi0wo24,6.271084337
qn6me4q0zf,5.479768786
4acmw75frl,6.959537572
wrawv2oo68,5.75147929
tymts7an4a,6.206060606
tbb3xxmama,5.477011494
x5snabijm5,5.871165644
a6pt67mw5f,5.757575758
3mw1g08um4,5.421052632
jo90ry3j7i,5.993975904
18m7hfqvv0,6.059171598
02us2qgqxs,5.358024691
45wy3pxh4q,5.994011976
wa2s2jd45g,5.131736527
yuyu29gj5s,4.14619883
d6nzojm6fi,5.939393939
0lzhzhm5kj,5.361445783
xram0n5vjj,5.478787879
vc0hmijr53,4.469512195
gk8jhv2ot9,5.6625
lheknk3l3q,5.389473684
xke76dq2ji,6.139037433
nlh8pc7zfm,5.683060109
ytsjrg2ayg,5.867021277
077g8x2yn6,6.632124352
g3bqeh0xo4,5.711340206
prhis6osaw,4.301675978
d3fogpxy7t,4.941798942
w8mrxwu1b3,6.038043478
yl8ok5vuo6,6.54787234
rm2loi2eag,5.846994536
mvic0xqeev,5.894444444
cxgrmf7zfx,6.356756757
ugacycvnau,5.505434783
13m2o9ccke,6.155080214
ius1wmngp8,5.733333333
141i5jnwju,5.38121547
rw6w5552e4,6.641414141
g2bxho6k3t,5.262295082
d5gtwob0ey,5.869109948
jy17gc2x7r,4.373205742
byj54vj5t8,6.35483871
dqly5n4oap,6.316037736
12pe6fjq99,5.18957346
ko2e2iaahq,5.857819905
kdi6m7l8e4,6.060747664
lmct4xny2b,4.733009709
kppx8kqzpk,6.241706161
addw35rfu2,6.033175355
yzm1ddzc4s,5.27804878
sd2kotnwwm,4.765258216
t9si1yphim,5.84057971
b3zhome124,5.034482759
ljv8ucs33i,4.927884615
n9svrgrjka,5.995305164
xermyvq1sl,5.313019391
